"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Lindsay Hoyle","@LindsayHoyle_MP","Speaker","Chorley",42055,-10
"Claire Hanna","@ClaireHanna","Social Democratic and Labour Party","Belfast South",44230,-1
"Colum Eastwood","@columeastwood","Social Democratic and Labour Party","Foyle",51041,-5
"Mickey Brady ","@MickeyBradySF","Sinn Féin","Newry and Armagh",5499,-2
"Paul Maskey ","@PaulMaskeyMP","Sinn Féin","Belfast West",20607,-13
"Francie Molloy ","@FrancieMolloy","Sinn Féin","Mid Ulster",13830,-2
"John Finucane","@johnfinucane","Sinn Féin","Belfast North",39590,18
"Michelle Gildernew","@gildernewm","Sinn Féin","Fermanagh and South Tyrone",21635,-14
"Christopher Hazzard","@ChrisHazzardSF","Sinn Féin","South Down",26426,-6
"Órfhlaith Begley","@OrfhlaithBegley","Sinn Féin","West Tyrone",10725,2
"Johnny McNally","@JohnMcNallySNP","Scottish National Party","Falkirk",9599,0
"Chris Law ","@ChrisLawSNP","Scottish National Party","Dundee West",20491,-6
"Hannah Bardell ","@HannahB4LiviMP","Scottish National Party","Livingston",26394,-9
"Mhairi Black ","@MhairiBlack","Scottish National Party","Paisley and Renfrewshire South",236306,-40
"Kirsty Blackman ","@KirstySNP","Scottish National Party","Aberdeen North",27505,-6
"Stewart Malcolm McDonald ","@StewartMcDonald","Scottish National Party","Glasgow South",39192,4
"Stuart C. McDonald ","@Stuart_McDonald","Scottish National Party","Cumbernauld, Kilsyth and Kirkintilloch East",13844,0
"Peter Grant ","@PeterGrantMP","Scottish National Party","Glenrothes",16802,1
"Martyn Day ","@MartynDaySNP","Scottish National Party","Linlithgow and East Falkirk",11520,3
"Angus MacNeil ","@AngusMacNeilSNP","Scottish National Party","Na h-Eileanan an Iar",45783,-4
"Gavin Newlands ","@GavNewlandsSNP","Scottish National Party","Paisley and Renfrewshire North",14819,0
"Ian Blackford ","@Ianblackford_MP","Scottish National Party","Ross, Skye and Lochaber",185017,8
"Anne McLaughlin ","@AnneMcLaughlin","Scottish National Party","Glasgow North East",14374,-1
"Deidre Brock ","@DeidreBrock","Scottish National Party","Edinburgh North and Leith",17469,4
"Alan Brown ","@AlanBrownSNP","Scottish National Party","Kilmarnock and Loudoun",12998,-7
"Chris Stephens ","@ChrisStephens","Scottish National Party","Glasgow South West",17855,-8
"Dave Doogan","@DaveDooganSNP","Scottish National Party","Angus",4944,0
"Neale Hanvey","@JNHanvey","Scottish National Party","Kirkcaldy and Cowdenbeath",9558,-152
"Stephen Flynn","@StephenFlynnSNP","Scottish National Party","Aberdeen South",11741,6
"Douglas Chapman ","@DougChapmanSNP","Scottish National Party","Dunfermline and West Fife",15931,5
"Carol Monaghan ","@CMonaghanSNP","Scottish National Party","Glasgow North West",21094,51
"Richard Gordon Thomson","@RThomsonMP","Scottish National Party","Gordon",3817,-1
"Steven Bonnar","@StevenBonnarSNP","Scottish National Party","Coatbridge, Chryston and Bellshill",4273,-1
"Joanna Cherry QC ","@joannaccherry","Scottish National Party","Edinburgh South West",123633,79
"Allan Dorans","@allandoransMP","Scottish National Party","Ayr, Carrick and Cumnock",1007,1
"Lisa Cameron","@DrLisaCameronMP","Scottish National Party","East Kilbride, Strathaven and Lesmahagow",14889,10
"Ronnie Cowan ","@ronniecowan","Scottish National Party","Inverclyde",13631,3
"John Nicolson ","@MrJohnNicolson","Scottish National Party","Ochil and South Perthshire",52226,-2
"Brendan O'Hara ","@BrendanOHaraMP","Scottish National Party","Argyll and Bute",15354,0
"Angela Crawley ","@AngelaCrawley30","Scottish National Party","Lanark and Hamilton East",14057,-4
"Kirsten Oswald ","@kirstenoswald","Scottish National Party","East Renfrewshire",17052,17
"Martin Docherty-Hughes","@MartinJDocherty","Scottish National Party","West Dunbartonshire",14328,13
"Alyn Smith","@AlynSmith","Scottish National Party","Stirling",46553,-4
"Kenny MacAskill","@KennyMacAskill","Scottish National Party","East Lothian",19990,-1
"Marion Fellows ","@marionfellows","Scottish National Party","Motherwell and Wishaw",12769,6
"Amy Callaghan","@AmyCallaghanSNP","Scottish National Party","East Dunbartonshire",16006,-10
"Tommy Sheppard ","@TommySheppard","Scottish National Party","Edinburgh East",41977,4
"Patricia Gibson ","@PGibsonSNP","Scottish National Party","North Ayrshire and Arran",13471,0
"Anum Qaisar","@AnumSNP","Scottish National Party","Airdrie and Shotts",21843,25
"David Linden","@DavidLinden","Scottish National Party","Glasgow East",13959,10
"Alison Thewliss ","@alisonthewliss","Scottish National Party","Glasgow Central",31802,-8
"Owen Thompson ","@OwenThompson","Scottish National Party","Midlothian",8601,7
"Drew Hendry ","@drewhendrySNP","Scottish National Party","Inverness, Nairn, Badenoch and Strathspey",16394,1
"Stewart Hosie ","@StewartHosieSNP","Scottish National Party","Dundee East",28730,-10
"Dr Philippa Whitford ","@Dr_PhilippaW","Scottish National Party","Central Ayrshire",40315,6
"Pete Wishart ","@PeteWishart","Scottish National Party","Perth and North Perthshire",59417,11
"Liz Saville Roberts ","@LSRPlaid","Plaid Cymru","Dwyfor Meirionnydd",22726,1
"Ben Lake","@BenMLake","Plaid Cymru","Ceredigion",8835,1
"Hywel Williams ","@HywelPlaidCymru","Plaid Cymru","Arfon",10710,-1
"Alistair Carmichael","@amcarmichaelMP","Liberal Democrat","Orkney and Shetland",25007,2
"Tim Farron","@timfarron","Liberal Democrat","Westmorland and Lonsdale",291903,12
"Munira Wilson","@munirawilson","Liberal Democrat","Twickenham",18254,12
"Wera Hobhouse","@Wera_Hobhouse","Liberal Democrat","Bath",24604,1
"Christine Jardine","@cajardineMP","Liberal Democrat","Edinburgh West",15175,51
"Daisy Cooper","@libdemdaisy","Liberal Democrat","St Albans",29781,-13
"Jamie Stone","@Jamie4North","Liberal Democrat","Caithness, Sutherland and Easter Ross",14853,-7
"Wendy Chamberlain","@wendychambLD","Liberal Democrat","North East Fife",8302,-1
"Sarah Olney","@sarahjolney1","Liberal Democrat","Richmond Park",18926,5
"Edward Davey","@EdwardJDavey","Liberal Democrat","Kingston and Surbiton",95099,-5
"Sarah Green","@SarahGreenLD","Liberal Democrat","Chesham and Amersham",11306,4
"Helen Morgan","@HelenMorganMP","Liberal Democrat","North Shropshire",15432,6
"Richard Foord","@RichardFoordLD","Liberal Democrat","Tiverton and Honiton",10459,2
"Layla Moran","@LaylaMoran","Liberal Democrat","Oxford West and Abingdon",81441,-92
"Diane Abbott ","@HackneyAbbott","Labour","Hackney North and Stoke Newington",407876,2
"David Lammy ","@DavidLammy","Labour","Tottenham",798734,-6
"Debbie Abrahams ","@Debbie_abrahams","Labour","Oldham East and Saddleworth",54451,-10
"Ian Lavery ","@IanLaveryMP","Labour","Wansbeck",96523,-12
"John Cryer","@JohnCryerMP","Labour","Leyton and Wanstead",7131,3
"Siobhain McDonagh","@Siobhain_Mc","Labour","Mitcham and Morden",27527,-1
"Rushanara Ali ","@rushanaraali","Labour","Bethnal Green and Bow",48740,-9
"Mark Hendrick","@MpHendrick","Labour","Preston",6192,1
"Emma Lewell-Buck ","@EmmaLewellBuck","Labour","South Shields",28313,-11
"Jonathan Ashworth ","@JonAshworth","Labour","Leicester South",119672,6
"Clive Lewis ","@labourlewis","Labour","Norwich South",123071,5
"Chris Evans","@Chris_EvansMP","Labour","Islwyn",7657,0
"Marie Rimmer ","@MarieRimmer","Labour","St Helens South and Whiston",14004,-4
"Hilary Benn ","@hilarybennmp","Labour","Leeds Central",172725,5
"Holly Lynch ","@HollyLynch5","Labour","Halifax",31273,-3
"Steve McCabe ","@steve_mccabe","Labour","Birmingham, Selly Oak",19446,-14
"Wayne David ","@WayneDavid_MP","Labour","Caerphilly",15766,1
"Kerry McCarthy ","@KerryMP","Labour","Bristol East",33094,3
"Andy McDonald ","@AndyMcDonaldMP","Labour","Middlesbrough",52209,-6
"Sarah Owen","@SarahOwen_","Labour","Luton North",24084,43
"Paul Blomfield ","@PaulBlomfieldMP","Labour","Sheffield Central",23282,-8
"John McDonnell ","@johnmcdonnellMP","Labour","Hayes and Harlington",323525,-1
"Pat McFadden ","@patmcfaddenmp","Labour","Wolverhampton South East",29821,8
"Conor McGinn ","@ConorMcGinn","Labour","St Helens North",18574,-2
"Alison McGovern ","@Alison_McGovern","Labour","Wirral South",57302,-5
"Ben Bradshaw ","@BenPBradshaw","Labour","Exeter",79821,31
"Kevin Brennan ","@KevinBrennanMP","Labour","Cardiff West",27581,7
"Catherine McKinnell ","@CatMcKinnell","Labour","Newcastle upon Tyne North",29489,-5
"Justin Madders ","@justinmadders","Labour","Ellesmere Port and Neston",31523,4
"Florence Eshalomi","@FloEshalomi","Labour","Vauxhall",32551,-12
"Lyn Brown ","@lynbrownmp","Labour","West Ham",14989,-4
"Shabana Mahmood ","@ShabanaMahmood","Labour","Birmingham, Ladywood",26627,-2
"Karen Buck ","@KarenPBuckMP","Labour","Westminster North",19076,16
"Seema Malhotra ","@SeemaMalhotra1","Labour","Feltham and Heston",26380,-11
"Jim McMahon ","@JimfromOldham","Labour","Oldham West and Royton",29979,-9
"Richard Burgon ","@RichardBurgon","Labour","Leeds East",193774,651
"Tahir Ali","@TahirAliMP","Labour","Birmingham, Hall Green",3936,0
"Dawn Butler ","@DawnButlerBrent","Labour","Brent Central",245795,-13
"Rachael Maskell ","@RachaelMaskell","Labour","York Central",36583,0
"Liam Byrne ","@liambyrnemp","Labour","Birmingham, Hodge Hill",38668,17
"Ruth Cadbury ","@RuthCadbury","Labour","Brentford and Isleworth",24079,6
"Christian Matheson ","@ChrisM4Chester","Labour","City of Chester",16546,5
"Gill Furniss ","@GillFurnissMP","Labour","Sheffield, Brightside and Hillsborough",7845,0
"Olivia Frances Blake","@_OliviaBlake","Labour","Sheffield, Hallam",19034,-10
"Chris Elmore ","@CPJElmore","Labour","Ogmore",16172,5
"Alan Campbell ","@alancampbellmp","Labour","Tynemouth",7755,5
"Ian Mearns ","@IanMearnsMP","Labour","Gateshead",28700,-14
"Edward Miliband ","@Ed_Miliband","Labour","Doncaster North",815830,-31
"Christian Wakeford","@Christian4BuryS","Labour","Bury South",15336,17
"Nadia Whittome","@NadiaWhittomeMP","Labour","Nottingham East",112566,104
"Sarah Champion ","@SarahChampionMP","Labour","Rotherham",50994,5
"Dr Rosena Allin-Khan ","@DrRosena","Labour","Tooting",209525,-20
"Tracy Brabin ","@TracyBrabin","Labour","Batley and Spen",68380,-24
"Jessica Morden ","@jessicamordenmp","Labour","Newport East",15803,19
"Grahame Morris ","@grahamemorris","Labour","Easington",33299,-1
"Alex Davies-Jones","@AlexDaviesJones","Labour","Pontypridd",10748,4
"Ian Murray ","@IanMurrayMP","Labour","Edinburgh South",35718,-2
"Rosie Cooper ","@rosie4westlancs","Labour","West Lancashire",15337,-4
"Yvette Cooper ","@YvetteCooperMP","Labour","Normanton, Pontefract and Castleford",421120,141
"Mike Amesbury","@MikeAmesburyMP","Labour","Weaver Vale",12629,-8
"Lisa Nandy ","@lisanandy","Labour","Wigan",291671,250
"Nav Mishra","@NavPMishra","Labour","Stockport",13576,-19
"Tonia Antoniazzi","@ToniaAntoniazzi","Labour","Gower",18562,-6
"Neil Coyle ","@coyleneil","Labour","Bermondsey and Old Southwark",28803,-17
"Chi Onwurah ","@ChiOnwurah","Labour","Newcastle upon Tyne Central",46800,0
"Stella Creasy ","@stellacreasy","Labour","Walthamstow",162641,-6
"Kate Osamor ","@KateOsamor","Labour","Edmonton",36761,-1
"Judith Cummins ","@JudithCummins","Labour","Bradford South",15742,0
"Alex Cunningham ","@ACunninghamMP","Labour","Stockton North",24278,13
"Kate Osborne","@KateOsborneMP","Labour","Jarrow",21700,16
"Geraint Davies ","@GeraintDaviesMP","Labour","Swansea West",17485,18
"Ian Byrne","@IanByrneMP","Labour","Liverpool, West Derby",48899,130
"Matthew Pennycook ","@mtpennycook","Labour","Greenwich and Woolwich",24916,0
"Fleur Anderson","@PutneyFleur","Labour","Putney",18120,-28
"Toby Perkins ","@tobyperkinsmp","Labour","Chesterfield",30805,1
"Dan Carden","@DanCardenMP","Labour","Liverpool, Walton",53836,-7
"Mary Foy","@marykfoy","Labour","City of Durham",17787,-1
"Thangam Debbonaire ","@ThangamMP","Labour","Bristol West",36952,30
"Bambos Charalambous","@BambosMP","Labour","Enfield, Southgate",12239,-21
"Jess Phillips ","@jessphillips","Labour","Birmingham, Yardley",620123,293
"Bridget Phillipson ","@bphillipsonMP","Labour","Houghton and Sunderland South",58318,85
"Rachel Hopkins","@rach_hopkins","Labour","Luton South",9861,0
"Lucy Powell ","@LucyMPowell","Labour","Manchester Central",66057,7
"Marsha de Cordova","@MarshadeCordova","Labour","Battersea",41718,-1
"Stephen Doughty ","@SDoughtyMP","Labour","Cardiff South and Penarth",37045,5
"Tanmanjit Singh Dhesi","@TanDhesi","Labour","Slough",100493,-17
"Peter Dowd ","@Peter_Dowd","Labour","Bootle",19056,0
"Taiwo Owatemi","@TaiwoOwatemi","Labour","Coventry North West",21463,-4
"Jack Dromey ","@JackDromeyMP","Labour","Birmingham, Erdington",24614,-2
"Anneliese Dodds","@AnnelieseDodds","Labour","Oxford East",82163,19
"Kim Johnson","@KimJohnsonMP","Labour","Liverpool, Riverside",18984,-1
"Yasmin Qureshi ","@YasminQureshiMP","Labour","Bolton South East",25840,1
"Angela Rayner ","@AngelaRayner","Labour","Ashton-under-Lyne",615154,319
"Rosie Duffield","@RosieDuffield1","Labour","Canterbury",56354,36
"Angela Eagle ","@angelaeagle","Labour","Wallasey",83627,5
"Maria Eagle ","@meaglemp","Labour","Garston and Halewood",48615,-8
"Steve Reed ","@SteveReedMP","Labour","Croydon North",39090,-23
"Clive Efford ","@CliveEfford","Labour","Eltham",15827,-7
"Christina Rees ","@Rees4Neath","Labour","Neath",12623,-2
"Julie Elliott ","@JulieElliottMP","Labour","Sunderland Central",22577,-5
"Rachel Reeves ","@RachelReevesMP","Labour","Leeds West",172244,173
"Jonathan Reynolds ","@jreynoldsMP","Labour","Stalybridge and Hyde",56167,22
"Zarah Sultana","@zarahsultana","Labour","Coventry South",313588,193
"Bill Esterson ","@Bill_Esterson","Labour","Sefton Central",41924,39
"Preet Gill","@PreetKGillMP","Labour","Birmingham, Edgbaston",44130,18
"Sam Tarry","@SamTarry","Labour","Ilford South",38057,-21
"Mary Glindon","@GlindonMary","Labour","North Tyneside",1467,0
"Feryal Clark","@FeryalClark","Labour","Enfield North",12933,-42
"Naz Shah ","@NazShahBfd","Labour","Bradford West",61775,8
"Mick Whitley","@MickWhitleyMP","Labour","Birkenhead",13828,-1
"Beth Winter","@BethWinterMP","Labour","Cynon Valley",13415,-1
"Virendra Sharma ","@VirendraSharma","Labour","Ealing, Southall",20687,-1
"Barry Sheerman ","@BarrySheerman","Labour","Huddersfield",24168,3
"Yvonne Fovargue ","@Y_FovargueMP","Labour","Makerfield",14361,-9
"Fabian Hamilton","@FabianLeedsNE","Labour","Leeds North East",7485,0
"Emma Hardy","@EmmaHardyMP","Labour","Kingston upon Hull West and Hessle",30505,-4
"James Murray","@jamesmurray_ldn","Labour","Ealing North",9887,4
"Vicky Foxcroft ","@vickyfoxcroft","Labour","Lewisham, Deptford",23581,4
"Abena Oppong-Asare","@abenaopp","Labour","Erith and Thamesmead",19262,-6
"Paula Barker","@PaulaBarkerMP","Labour","Liverpool, Wavertree",17948,20
"Tulip Siddiq ","@TulipSiddiq","Labour","Hampstead and Kilburn",199428,-30
"Andy Slaughter ","@hammersmithandy","Labour","Hammersmith",26089,5
"Barry Gardiner ","@BarryGardiner","Labour","Brent North",98889,103
"Cat Smith ","@CatSmithMP","Labour","Lancaster and Fleetwood",44870,-5
"Apsana Begum","@ApsanaBegumMP","Labour","Poplar and Limehouse",43288,8
"Jeff Smith ","@JeffSmithetc","Labour","Manchester, Withington",11950,-21
"Bell Ribeiro-Addy","@BellRibeiroAddy","Labour","Streatham",66258,-8
"Nick Smith ","@BlaenauGwentMP","Labour","Blaenau Gwent",11253,14
"Charlotte Nichols","@charlotte2153","Labour","Warrington North",24336,55
"Karin Smyth ","@karinsmyth","Labour","Bristol South",15367,122
"Darren Jones","@darrenpjones","Labour","Bristol North West",46053,9085
"Sarah Jones","@LabourSJ","Labour","Croydon Central",24955,-9
"John Spellar ","@spellar","Labour","Warley",12182,2
"Afzal Khan","@Afzal4Gorton","Labour","Manchester, Gorton",37106,-27
"Keir Starmer ","@Keir_Starmer","Labour","Holborn and St Pancras",1382824,288
"Simon Lightwood","@simonlightwood","Labour","Wakefield",13476,-3
"Jo Stevens ","@JoStevensLabour","Labour","Cardiff Central",35201,1
"Wes Streeting ","@wesstreeting","Labour","Ilford North",172070,109
"Kate Green ","@KateGreenSU","Labour","Stretford and Urmston",50809,-5
"Lilian Greenwood ","@LilianGreenwood","Labour","Nottingham South",30914,-3
"Margaret Greenwood ","@MGreenwoodWW","Labour","Wirral West",22575,-2
"Nia Griffith ","@NiaGriffithMP","Labour","Llanelli",19336,3
"Tony Lloyd","@tony4rochdale","Labour","Rochdale",9644,1
"Mark Tami ","@MarkTamiMP","Labour","Alyn and Deeside",10476,0
"Rebecca Long-Bailey","@RLong_Bailey","Labour","Salford and Eccles",199064,10
"Andrew Gwynne ","@GwynneMP","Labour","Denton and Reddish",53380,-4
"Gareth Thomas ","@GarethThomasMP","Labour","Harrow West",18726,-3
"Nick Thomas-Symonds ","@NickTorfaen","Labour","Torfaen",35148,10
"Louise Haigh ","@LouHaigh","Labour","Sheffield, Heeley",60023,9
"Emily Thornberry ","@EmilyThornberry","Labour","Islington South and Finsbury",270079,43
"Stephen Timms ","@stephenctimms","Labour","East Ham",19768,3
"Anna McMorrin","@AnnaMcMorrin","Labour","Cardiff North",20018,-7
"Harriet Harman QC ","@HarrietHarman","Labour","Camberwell and Peckham",191899,-4
"Jon Trickett ","@jon_trickett","Labour","Hemsworth",97500,-1
"Stephen Morgan","@StephenMorganMP","Labour","Portsmouth South",17837,-5
"Carolyn Harris ","@carolynharris24","Labour","Swansea East",33285,1
"Alex Norris","@AlexNorrisNN","Labour","Nottingham North",8880,9
"Karl Turner ","@KarlTurnerMP","Labour","Kingston upon Hull East",48818,57
"Helen Hayes ","@helenhayes_","Labour","Dulwich and West Norwood",27680,-11
"Derek Twigg ","@DerekTwiggMP","Labour","Halton",7070,2
"John Healey ","@JohnHealey_MP","Labour","Wentworth and Dearne",33908,18
"Stephanie Peacock","@Steph_Peacock","Labour","Barnsley East",12130,-10
"Valerie Vaz ","@Valerie_VazMP","Labour","Walsall South",8687,0
"Luke Pollard","@LukePollard","Labour","Plymouth, Sutton and Devonport",45849,26
"Meg Hillier ","@Meg_HillierMP","Labour","Hackney South and Shoreditch",21525,-36
"Margaret Hodge ","@margarethodge","Labour","Barking",55814,-9
"Catherine West ","@CatherineWest1","Labour","Hornsey and Wood Green",34143,-53
"Sharon Hodgson ","@SharonHodgsonMP","Labour","Washington and Sunderland West",34985,-4
"Ellie Reeves","@elliereeves","Labour","Lewisham West and Penge",27510,-17
"Kate Hollern ","@Kate_HollernMP","Labour","Blackburn",10755,-7
"Dr Alan Whitehead ","@alanwhiteheadmp","Labour","Southampton, Test",9272,2
"Matt Rodda","@MattRodda","Labour","Reading East",7730,3
"Lloyd Russell-Moyle","@lloyd_rm","Labour","Brighton, Kemptown",33425,2
"Imran Hussain ","@Imran_HussainMP","Labour","Bradford East",22912,-4
"Alex Sobel","@alexsobel","Labour","Leeds North West",26259,-9
"Dan Jarvis ","@DanJarvisMP","Labour","Barnsley Central",75278,11
"Daniel Zeichner ","@DanielZeichner","Labour","Cambridge",21840,-7
"Jon Cruddas ","@JonCruddas_1","Labour","Dagenham and Rainham",22171,-5
"Diana Johnson ","@DianaJohnsonMP","Labour","Kingston upon Hull North",30875,-4
"Liz Twist","@LizTwistMP","Labour","Blaydon",4987,2
"Gerald Jones ","@GeraldJonesLAB","Labour","Merthyr Tydfil and Rhymney",8297,4
"Chris Bryant ","@RhonddaBryant","Labour","Rhondda",264668,241
"Kevan Jones ","@KevanJonesMP","Labour","North Durham",23958,-1
"Mike Kane ","@MikeKaneMP","Labour","Wythenshawe and Sale East",12667,-8
"Khalid Mahmood","@khalid4PB","Labour","Birmingham, Perry Barr",7513,0
"Matt Western","@MattWestern_","Labour","Warwick and Leamington",13687,6
"Barbara Keeley ","@KeeleyMP","Labour","Worsley and Eccles South",27634,-3
"Liz Kendall ","@leicesterliz","Labour","Leicester West",95745,-16
"Mohammad Yasin","@YasinForBedford","Labour","Bedford",3498,-1
"Stephen Kinnock ","@SKinnock","Labour","Aberavon",37507,0
"Janet Daby","@JanetDaby","Labour","Lewisham East",12987,1
"Peter Kyle ","@peterkyle","Labour","Hove",55427,48
"Ruth Jones","@RuthNewportWest","Labour","Newport West",8004,-4
"Margaret Ferrier ","@MargaretFerrier","Independent","Rutherglen and Hamilton West",15804,3
"Jeremy Corbyn ","@jeremycorbyn","Independent","Islington North",2517269,322
"Claudia Webbe","@ClaudiaWebbe","Independent","Leicester East",81199,1
"Christopher Pincher ","@ChrisPincher","Independent","Tamworth",21534,-5
"Patrick Grady ","@GradySNP","Independent","Glasgow North",16854,-4
"Matthew Hancock ","@MattHancock","Independent","West Suffolk",431181,410
"David Warburton ","@DJWarburton","Independent","Somerton and Frome",16792,-2
"Dr Rupa Huq ","@RupaHuq","Independent","Ealing Central and Acton",51337,5
"Tobias Ellwood","@Tobias_Ellwood","Independent","Bournemouth East",93344,4
"Conor Burns","@ConorBurnsUK","Independent","Bournemouth West",27849,5
"Caroline Lucas ","@CarolineLucas","Green Party","Brighton, Pavilion",609001,61
"Sammy Wilson ","@eastantrimmp","Democratic Unionist Party","East Antrim",24032,0
"Carla Lockhart","@carlalockhart","Democratic Unionist Party","Upper Bann",13651,-3
"Jim Shannon ","@JimShannonMP","Democratic Unionist Party","Strangford",4584,5
"Jeffrey M. Donaldson ","@J_Donaldson_MP","Democratic Unionist Party","Lagan Valley",32653,-2
"Gavin Robinson ","@GRobinsonDUP","Democratic Unionist Party","Belfast East",15251,1
"Paul Girvan","@PaulGirvanMP","Democratic Unionist Party","South Antrim",6513,-1
"Chris Skidmore","@CSkidmoreUK","Conservative","Kingswood",29144,0
"Pauline Latham ","@Pauline_Latham","Conservative","Mid Derbyshire",22479,-11
"Adam Afriyie ","@AdamAfriyie","Conservative","Windsor",17972,-1
"Gagan Mohindra","@gaganmohindra","Conservative","South West Hertfordshire",5730,0
"Philip Dunne","@Dunne4Ludlow","Conservative","Ludlow",13462,1
"Paul Bristow","@paulbristow79","Conservative","Peterborough",12665,164
"Peter Aldous ","@peter_aldous","Conservative","Waveney",15112,5
"Andrea Leadsom ","@andrealeadsom","Conservative","South Northamptonshire",129938,9
"Stephen Hammond","@S_Hammond","Conservative","Wimbledon",20702,-3
"Elizabeth Truss ","@trussliz","Conservative","South West Norfolk",715096,760
